file_id,source_id,onset_ms,sampling_rate,snr_db,rms_db,peak_amplitude,is_clipped
XC395089_59762,395089,59762,16000,7.28,-39.04,0.0791,False
XC395089_63229,395089,63229,16000,4.29,-39.65,0.0555,False
XC395089_8684,395089,8684,16000,8.35,-39.26,0.0845,False
XC400123_10741,400123,10741,16000,22.82,-35.23,0.2333,False
XC400123_16803,400123,16803,16000,24.25,-33.64,0.2182,False
XC400123_24118,400123,24118,16000,20.41,-38.69,0.1704,False
XC400123_25603,400123,25603,16000,25.61,-31.03,0.2159,False
XC400123_3689,400123,3689,16000,17.63,-41.45,0.1398,False
XC400123_45367,400123,45367,16000,19.04,-41.21,0.1255,False
XC400123_47882,400123,47882,16000,22.61,-35.27,0.1803,False
XC40086_1144,40086,1144,16000,17.10,-20.40,0.4633,False
XC40086_11521,40086,11521,16000,7.68,-30.87,0.2221,False
XC40086_17259,40086,17259,16000,18.83,-19.49,0.8702,False
XC40086_26089,40086,26089,16000,20.89,-16.70,0.8816,False
XC40086_29089,40086,29089,16000,17.42,-20.59,0.5729,False
XC40086_41181,40086,41181,16000,18.59,-18.02,0.8724,False
XC40086_53456,40086,53456,16000,15.47,-22.48,0.5017,False
XC40086_60804,40086,60804,16000,14.08,-23.68,0.3874,False
XC40087_134743,40087,134743,16000,18.65,-15.26,1.0000,True
XC40087_152038,40087,152038,16000,16.17,-17.10,0.8843,False
XC40087_1794,40087,1794,16000,16.44,-14.01,1.0000,True
XC40087_20398,40087,20398,16000,16.94,-16.25,0.9883,False
XC40087_31727,40087,31727,16000,13.72,-19.83,0.8134,False
XC40087_43217,40087,43217,16000,19.87,-13.94,0.9882,False
XC40087_59996,40087,59996,16000,8.23,-25.47,0.3875,False
XC40087_64379,40087,64379,16000,9.62,-24.31,0.4645,False
XC40087_70731,40087,70731,16000,9.17,-24.41,0.5870,False
XC40087_81484,40087,81484,16000,5.95,-27.83,0.3453,False
XC402381_5256,402381,5256,16000,21.26,-21.62,0.6209,False
XC402381_789,402381,789,16000,14.47,-25.97,0.5195,False
XC426356_1477,426356,1477,16000,26.32,-22.87,0.7374,False
XC426356_15473,426356,15473,16000,21.91,-27.33,0.5460,False
XC426356_20466,426356,20466,16000,9.18,-40.33,0.0860,False
XC426356_23459,426356,23459,16000,10.85,-36.93,0.0878,False
XC426356_9194,426356,9194,16000,27.18,-20.85,0.8829,False
XC442857_2115,442857,2115,16000,14.67,-22.93,0.6534,False
XC44444_11449,44444,11449,16000,11.27,-24.26,0.3631,False
XC44444_14446,44444,14446,16000,3.12,-31.53,0.1820,False
XC44444_17444,44444,17444,16000,3.05,-29.67,0.3159,False
XC44444_3046,44444,3046,16000,9.05,-27.22,0.4735,False
XC44444_46,44444,46,16000,11.25,-25.52,0.4428,False
XC444488_1194,444488,1194,16000,18.14,-27.12,0.4785,False
XC444488_12180,444488,12180,16000,30.62,-17.52,1.0000,True
XC444488_6372,444488,6372,16000,26.47,-20.78,0.8393,False
XC444488_9306,444488,9306,16000,19.86,-30.65,0.4718,False
XC445899_1245,445899,1245,16000,26.24,-31.78,0.2579,False
XC445899_13571,445899,13571,16000,33.90,-24.82,0.4565,False
XC445899_18628,445899,18628,16000,33.36,-24.98,0.5221,False
XC445899_2653,445899,2653,16000,26.80,-31.67,0.2558,False
XC445899_27551,445899,27551,16000,32.15,-24.60,0.4755,False
XC445899_29469,445899,29469,16000,8.15,-24.42,0.4426,False
XC445899_5777,445899,5777,16000,12.11,-25.09,0.3652,False
XC464285_42,464285,42,16000,12.04,-43.22,0.0550,False
XC464285_4328,464285,4328,16000,16.24,-32.00,0.1889,False
XC472544_10937,472544,10937,16000,22.92,-30.84,0.1535,False
XC472544_16834,472544,16834,16000,16.73,-40.12,0.0994,False
XC472544_19729,472544,19729,16000,19.87,-36.52,0.1017,False
XC472544_24798,472544,24798,16000,22.03,-34.17,0.1256,False
XC472544_2668,472544,2668,16000,21.81,-31.23,0.2003,False
XC472544_29732,472544,29732,16000,24.19,-31.73,0.1770,False
XC472544_35206,472544,35206,16000,8.64,-48.36,0.0476,False
XC472544_5158,472544,5158,16000,26.40,-28.71,0.2228,False
XC472544_6411,472544,6411,16000,27.41,-29.40,0.2202,False
XC472544_904,472544,904,16000,23.96,-31.86,0.2943,False
XC472545_11253,472545,11253,16000,26.62,-26.55,0.3837,False
