source_id,species_common,species_scientific,quality_grade,cc_license,type_label,latitude,longitude,country
161188,Coppersmith Barbet,Psilopogon haemacephalus,B,CC-BY-NC-ND-3.0,call,15.5886,73.8765,India
161191,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,call,15.5886,73.8765,India
161194,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161195,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161197,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161198,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161199,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161223,White-throated Kingfisher,Halcyon smyrnensis,B,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161258,Spotted Dove,Spilopelia chinensis,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161259,Common Tailorbird,Orthotomus sutorius,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161260,Common Tailorbird,Orthotomus sutorius,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161431,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161439,Coppersmith Barbet,Psilopogon haemacephalus,B,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161477,Common Iora,Aegithina tiphia,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
161631,Yellow-vented Bulbul,Pycnonotus goiavier,B,CC-BY-NC-SA-3.0,song,14.6523,120.9972,Philippines
161885,Yellow-vented Bulbul,Pycnonotus goiavier,B,CC-BY-NC-SA-3.0,call,14.6426,120.988,Philippines
161968,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
162210,Coppersmith Barbet,Psilopogon haemacephalus,B,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
162827,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
162828,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
162859,White-throated Kingfisher,Halcyon smyrnensis,B,CC-BY-NC-ND-3.0,"call, flight call",15.5886,73.8765,India
164345,Coppersmith Barbet,Psilopogon haemacephalus,C,CC-BY-NC-SA-3.0,call,15.1951,120.5118,Philippines
164666,Common Iora,Aegithina tiphia,B,CC-BY-NC-SA-3.0,call,10.198,118.912,Philippines
164689,Collared Kingfisher,Todiramphus chloris,A,CC-BY-NC-SA-3.0,call,10.198,118.912,Philippines
164692,Collared Kingfisher,Todiramphus chloris,A,CC-BY-NC-SA-3.0,call,10.198,118.912,Philippines
164693,Collared Kingfisher,Todiramphus chloris,A,CC-BY-NC-SA-3.0,call,10.198,118.912,Philippines
164811,Coppersmith Barbet,Psilopogon haemacephalus,B,CC-BY-NC-SA-3.0,song,7.076,125.3016,Philippines
166134,Coppersmith Barbet,Psilopogon haemacephalus,C,CC-BY-NC-ND-4.0,song,21.5834,77.3334,India
166251,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
166758,Olive-backed Sunbird,Cinnyris jugularis,B,CC-BY-NC-SA-3.0,call,6.1478,118.0525,Malaysia
166760,Olive-backed Sunbird,Cinnyris jugularis,B,CC-BY-NC-SA-3.0,song,6.1478,118.0525,Malaysia
166850,Collared Kingfisher,Todiramphus chloris,C,CC-BY-NC-ND-4.0,call,-8.3235,116.4012,Indonesia
166851,Collared Kingfisher,Todiramphus chloris,A,CC-BY-NC-ND-4.0,call,-8.3235,116.4012,Indonesia
167082,Yellow-vented Bulbul,Pycnonotus goiavier,B,CC-BY-NC-SA-3.0,call,6.1478,118.0525,Malaysia
167083,Yellow-vented Bulbul,Pycnonotus goiavier,B,CC-BY-NC-SA-3.0,call,6.1478,118.0525,Malaysia
167084,Yellow-vented Bulbul,Pycnonotus goiavier,B,CC-BY-NC-SA-3.0,call,6.1478,118.0525,Malaysia
167085,Yellow-vented Bulbul,Pycnonotus goiavier,B,CC-BY-NC-SA-3.0,song,6.1478,118.0525,Malaysia
167088,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-SA-3.0,call,6.1478,118.0525,Malaysia
168313,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-SA-3.0,call,21.564,88.8911,India
171263,Common Tailorbird,Orthotomus sutorius,A,CC-BY-NC-SA-4.0,call,11.6838,77.5085,India
171754,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-SA-4.0,call,2.1881,102.2453,Malaysia
174840,Yellow-vented Bulbul,Pycnonotus goiavier,B,CC-BY-NC-SA-4.0,song,1.3495,103.772,Singapore
174985,Common Iora,Aegithina tiphia,B,CC-BY-NC-SA-4.0,call,21.5848,71.3117,India
175830,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-SA-4.0,call,1.3545,103.7724,Singapore
177256,Yellow-vented Bulbul,Pycnonotus goiavier,C,CC-BY-NC-SA-4.0,call,1.3131,103.8137,Singapore
177320,Collared Kingfisher,Todiramphus chloris,C,CC-BY-NC-SA-4.0,call,9.8786,98.6021,Thailand
177321,Collared Kingfisher,Todiramphus chloris,C,CC-BY-NC-SA-4.0,call,9.8786,98.6021,Thailand
